evidence_id,paragraph_id,claim,supporting_sources,contradicting_sources,locations,evidence_strength,limitations,evidence_type,status
EXT-001,IN-01-P01,"Workloadbezogene Indexauswahl betrifft eine Indexkonfiguration und nicht nur isolierte Einzelindizes.","SCI-001;SCI-003",,"SCI-001: S. 147 Abschnitte 2.1–2.2; SCI-003: S. 156 Abschnitt 2.1",strong,"Relationale Systeme; Übertragung nur auf Problemstruktur.",external,ready
EXT-002,IN-01-P02,"Indexauswahl kann Workloadkosten, Speicher und Write-Aufwand als Ziele oder Constraints gemeinsam berücksichtigen.","SCI-002;SCI-003;MDB-011",,"SCI-002: Dokumentseiten 8 und 19; SCI-003: S. 156 Abschnitt 2.2; MDB-011: Abschnitt Indexes",strong,"Konkrete drei Zielgrößen und Proxyformeln sind eigene Designentscheidungen.",external,ready
EXT-003,FO-02-P01,"MongoDB gruppiert strukturell ähnliche Queries als Query Shapes; konkrete Parameterfälle und Gewichte bilden eine zusätzliche experimentelle Workloadschicht.","MDB-001;SCI-003",,"MDB-001: Definition und Behavior; SCI-003: S. 156 Abschnitt 2.2",strong,"Gewichte stammen aus allgemeiner Indexauswahlliteratur und sind keine MongoDB-Shape-Eigenschaft.",external,ready
EXT-004,FO-02-P02,"Explain-Strukturmetriken und separat gemessene Laufzeiten besitzen unterschiedliche Aussagekraft.",MDB-004,,"Abschnitt executionStats und executionTimeMillis",strong,"Explain-Ausgabeformat ist versionsabhängig; keine alleinige Leistungsrangfolge.",external,ready
EXT-005,FO-02-P03,"Feldreihenfolge und Anfangspräfixe bestimmen die Nutzbarkeit von Compound-Indizes für Equality und Sortierung.","MDB-002;MDB-003",,"MDB-002: Einleitung und ESR-Abschnitte; MDB-003: Results/Index Prefix",strong,"ESR ist eine Leitlinie; konkrete Leistung bleibt empirisch.",external,ready
EXT-006,FO-02-P04,"Partial-Indizes erfordern passende Querybedingungen, Arrayindizes werden multikey und Unique-Indizes können fachliche Eindeutigkeit erzwingen.","MDB-005;MDB-006;MDB-007",,"MDB-005: Query Coverage; MDB-006: Einleitung und Compound Multikey; MDB-007: Unique Constraint Across Separate Documents",strong,"Konkrete Registry und Koexistenz der Kandidaten benötigen Smoke-Tests.",external,ready
EXT-007,FO-02-P05,"Ein Index Selection Problem wählt eine Kandidatenteilmenge für einen gewichteten Workload unter Grenzen.","SCI-001;SCI-003",,"SCI-001: S. 147 Abschnitt 2.1; SCI-003: S. 156 Abschnitt 2.2",strong,"Formalisierung der Fallstudie weicht bei Kostenquelle und Pflichtindex ab.",external,ready
EXT-008,FO-02-P06,"Bei mehreren Zielen besteht die Lösung aus nicht dominierten beziehungsweise Pareto-optimalen Punkten statt zwingend aus einem eindeutigen Optimum.",SCI-002,,"Dokumentseite 19 Abschnitt A.4 Soft Constraints",strong,"CoPhy nutzt Scalarization; die Fallstudie enumeriert und prüft Dominanz direkt.",external,ready
EXT-009,FO-02-P07,"Einzel- oder geschätzte Indexkosten können Interaktionen und reale Setleistung verfehlen; Hint, Query Settings und Hidden Indexes simulieren keine vollständige physische Konfiguration.","SCI-003;SCI-005;MDB-008;MDB-009;MDB-010",,"SCI-003: S. 156 Abschnitt 2.1; SCI-005: S. 99–103 und 106–111; MDB-008: Definition/Behavior; MDB-009: Definition; MDB-010: Behavior",strong,"SCI-005 untersucht MongoDB 7.0.1 und zwei Range-Prädikate; die konkrete Modellabweichung der Fallstudie bleibt empirisch offen.",external,ready
EXT-010,FO-02-P08,"Wegen der Grenzen der Kostenschätzung müssen ausgewählte Sets materialisiert und mit natürlicher Plannerwahl überprüft werden.","SCI-003;SCI-005;MDB-008;MDB-009;MDB-010",,"SCI-003: S. 156 Abschnitte 2.1–2.2; SCI-005: S. 99–103; technische Abschnitte der drei MongoDB-Quellen",moderate,"Physische Finalvalidierung ist eine begründete eigene Synthese; SCI-005 darf nicht ohne Versionsbeleg auf MongoDB 8.2.11 übertragen werden.",external,ready
EXT-011,ME-03-P01,"Reproduzierbare DBMS-Benchmarks müssen Ablauf, Umgebung, Daten, Queries und Konfiguration offenlegen.",SCI-004,,"S. 2–3 Abschnitt 3.1; S. 6 Appendix A",strong,"Quelle vergleicht primär Systeme; Prinzipien werden auf Konfigurationen desselben Systems übertragen.",external,ready
EXT-012,ME-03-P05,"Cold-/Hot-Zustände, mehrere Wiederholungen, robuste Kennzahlen und Ergebnisprüfung müssen explizit kontrolliert werden.","SCI-004;MDB-004",,"SCI-004: S. 5 Abschnitte 3.5–3.6 und S. 6 Appendix A; MDB-004: executionTimeMillis",strong,"Exakt drei Warmups und zehn Wiederholungen sind noch empirisch auf Stabilität zu prüfen.",external,ready
EXT-013,ME-03-P09,"Finalistenläufe benötigen äquivalente Zustände, dokumentierte Konfigurationen und geprüfte Ergebnisse.","SCI-004;MDB-010;MDB-011",,"SCI-004: S. 2–3 und Appendix A; MDB-010/011: jeweiliger Abschnitt Behavior/Indexes",strong,"Batchgröße und Wiederholungszahl bleiben projektspezifisch.",external,ready
EXT-014,IN-01-P01,"Produktlisten mit Verfügbarkeits-, Kategorie-, Preis- und Tagfiltern sowie Preissortierung sind als Storefront-Zugriffe technisch plausibel.",WEB-001,,"products ProductConnection arguments; ProductFilter Fields; ProductSortKeys PRICE",moderate,"Keine Aussage über Häufigkeit, Repräsentativität oder interne Datenbankimplementierung.",external,ready
EXT-015,IN-01-P04,"Der Atlas Performance Advisor gruppiert langsame Queries nach Shape, rankt Indexvorschläge nach Impact und dedupliziert Präfixüberlappungen.",MDB-012,,"How Performance Advisor Suggests and Ranks Indexes; Index De-Duplication",strong,"Keine Negativbehauptung über nicht öffentlich dokumentierte interne Funktionen.",external,ready
